STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,PATENT_AUTHORITIES,Patent authorities,DATE_TYPE,Reference date type,MEASURE_PAT,Measure,AGENT_ROLE,Agent role,OECD_TECHNOLOGY_PATENT,Selected OECD technologies domains,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITH41,Pordenone,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,129.77,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITH41,Pordenone,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,154.44,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITH41,Pordenone,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,185.48,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITH41,Pordenone,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,189.12,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITH41,Pordenone,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,77.07,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE112,Böblingen,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,723.73,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE112,Böblingen,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,735.69,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE112,Böblingen,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,737.71,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE112,Böblingen,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,763.08,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE112,Böblingen,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,710.72,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,LT028,Telšiai county,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2017,,1.47,,LTU,Lithuania,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEE0B,Saalekreis,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,37.02,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEE0B,Saalekreis,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,38,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEE0B,Saalekreis,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,22.62,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEE0B,Saalekreis,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,14.34,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEE0B,Saalekreis,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,46.08,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE731,"Kassel, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,110.05,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE731,"Kassel, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,139.28,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE731,"Kassel, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,138.9,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE731,"Kassel, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,196.68,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DE731,"Kassel, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,154.17,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA1007,"Division 7, NL",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2017,,4.88,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA3528,"Haldimand-Norfolk, ON",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,22.84,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA3528,"Haldimand-Norfolk, ON",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,23.6,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA3528,"Haldimand-Norfolk, ON",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,17.19,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA3528,"Haldimand-Norfolk, ON",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,6.84,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA3528,"Haldimand-Norfolk, ON",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,6.72,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,SE110,Stockholm County,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,333.33,,SWE,Sweden,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,SE110,Stockholm County,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2017,,549.43,,SWE,Sweden,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,SE110,Stockholm County,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,530.14,,SWE,Sweden,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,SE110,Stockholm County,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,574.68,,SWE,Sweden,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,SE110,Stockholm County,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,540.47,,SWE,Sweden,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US104,"McAllen-Edinburg-Pharr, TX",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,6.27,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US104,"McAllen-Edinburg-Pharr, TX",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,10.38,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US104,"McAllen-Edinburg-Pharr, TX",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,4.8,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US104,"McAllen-Edinburg-Pharr, TX",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,5.3,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US104,"McAllen-Edinburg-Pharr, TX",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,1.28,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US056,"Farmington, NM",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2017,,46.42,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US056,"Farmington, NM",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,58.17,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US056,"Farmington, NM",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,56.76,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US056,"Farmington, NM",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,42.16,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US056,"Farmington, NM",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,53.59,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA2491,"Le Domaine-du-Roy, QC",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,32.12,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,CA2491,"Le Domaine-du-Roy, QC",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,56.13,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEB3A,"Zweibrücken, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,35.05,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEB3A,"Zweibrücken, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,140.03,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEB3A,"Zweibrücken, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,58.65,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEB3A,"Zweibrücken, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,31.81,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,DEB3A,"Zweibrücken, Kreisfreie Stadt",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,72.87,,DEU,Germany,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US070,"Harrisburg-Carlisle-Lebanon, PA",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,49.29,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US070,"Harrisburg-Carlisle-Lebanon, PA",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2017,,71.86,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US070,"Harrisburg-Carlisle-Lebanon, PA",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,82.02,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US070,"Harrisburg-Carlisle-Lebanon, PA",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,57.62,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,US070,"Harrisburg-Carlisle-Lebanon, PA",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,69.86,,USA,United States,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,EL613,Magnesia,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,4.93,,GRC,Greece,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,EL613,Magnesia,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,4.99,,GRC,Greece,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,EL613,Magnesia,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2022,,1.32,,GRC,Greece,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITC16,Cuneo,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2017,,73.16,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITC16,Cuneo,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2018,,54.48,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITC16,Cuneo,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2019,,40.05,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITC16,Cuneo,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2020,,47.78,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ITC16,Cuneo,_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2021,,38.98,,ITA,Italy,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_PAT@DF_PAT(1.0),Patent statistics - Regions,I,A,Annual,TL3,TL3,ME19R6,"Nuevo Leon, R6",_Z,Not applicable,9P50_1,World Intellectual Property Organization,APPLICATION,Application date,PAT,Patent application (fractionnal count),INVENTOR,Inventor,_T,Total patents,10P6HB,Per 1 000 000 inhabitants,2017,,0.27,,MEX,Mexico,A,Normal value,0,Units,1,One
